A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,age,gender,accuracy,country,source,elapsed,user_id
4,5,5,2,4,3,3,2,2,4,5,5,5,5,5,4,5,4,2,5,2,3,2,26,1,75,PL,1,1497,79
3,1,3,5,1,3,1,3,4,3,3,4,5,5,5,2,1,5,1,4,1,2,1,19,2,100,CN,1,876,80
4,4,4,4,4,4,4,4,3,2,3,4,4,5,3,2,4,3,4,4,4,3,2,17,2,97,US,6,647,81
4,4,2,3,4,4,3,3,3,2,4,4,4,4,4,4,2,3,2,2,2,2,2,36,2,90,US,1,530,82
4,4,4,4,4,4,4,3,2,1,4,4,5,5,5,4,5,5,2,2,2,1,1,42,2,95,ZA,1,518,83
5,5,5,4,3,5,5,2,1,1,3,3,2,4,2,4,3,5,4,3,2,2,1,20,2,60,MY,1,1673,84
4,5,4,5,4,5,4,5,1,1,4,4,4,4,4,4,1,4,1,3,1,4,5,20,0,90,MY,6,901,85
4,4,4,5,5,4,5,2,2,2,4,4,5,5,5,4,5,4,2,2,1,1,1,22,2,100,US,1,569,86
4,4,4,4,2,3,4,2,2,3,4,3,4,3,4,4,4,3,4,4,2,3,2,21,1,84,DK,1,1744,87
3,2,2,0,5,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,43,1,90,IN,1,2089,88
4,5,4,2,4,4,4,2,2,4,4,4,5,5,4,4,4,4,2,2,2,2,2,26,2,95,IN,1,1161,89
5,5,4,4,4,3,4,2,2,5,4,5,5,4,4,4,4,4,4,5,4,3,2,19,2,87,US,6,977,90
4,4,4,4,2,4,3,2,2,2,4,4,4,4,1,3,2,5,3,1,2,4,2,33,1,90,IN,1,798,91
4,5,5,4,5,4,4,2,1,1,2,3,4,4,4,2,4,4,2,2,3,1,2,21,2,97,IN,1,795,92
5,5,5,4,4,5,4,2,1,3,5,5,4,5,5,5,4,4,2,3,1,1,1,34,2,75,GB,1,400,93
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,90,CH,1,162,94
5,5,5,5,4,4,5,3,1,1,1,1,5,3,5,3,1,3,3,4,5,1,5,20,2,80,GB,2,591,95
5,4,5,4,5,4,4,3,1,2,3,5,5,4,5,4,3,4,1,2,1,1,1,24,1,95,CH,1,1089,96
3,2,4,5,2,4,4,2,2,2,4,4,4,5,4,4,2,4,2,4,2,5,1,30,2,75,AE,1,670,97
4,3,5,5,3,5,4,1,1,3,5,5,5,5,5,5,5,5,5,1,5,1,1,21,2,90,US,1,613,98
4,4,5,4,4,4,4,4,3,1,5,5,5,5,5,4,5,5,1,1,1,1,1,18,2,100,US,1,679,99
