q_Q1,q_Q2,q_Q3,q_Q4,q_Q5,q_Q6,q_Q7,q_Q8,q_Q9,q_Q10,q_Q11,q_Q12,q_Q13,q_Q14,q_Q15,q_Q16,q_Q17,q_Q18,q_Q19,q_Q20,m_score,m_gender,m_age,seconds_elapsed
5,3,2,4,4,3,2,5,4,3,1,5,4,3,4,2,2,3,2,1,68,1,45,415
2,2,5,2,3,4,3,3,4,4,2,3,4,2,4,4,2,4,2,2,55,1,38,153
5,3,4,3,3,5,2,1,5,3,3,3,5,1,4,1,1,5,3,3,63,1,16,472
3,2,4,4,2,3,2,4,4,4,1,0,4,2,4,2,2,4,4,2,59,2,26,335
4,2,1,1,5,5,1,5,1,1,1,5,4,1,2,1,1,5,5,1,80,2,28,122
4,5,3,2,5,3,2,4,4,2,1,4,4,3,4,2,2,4,5,1,74,1,20,129
5,5,2,3,4,4,3,3,4,2,2,5,4,3,4,3,2,3,2,2,67,2,46,128
4,4,4,3,3,2,2,4,3,2,2,4,4,2,5,3,2,4,4,3,72,2,38,128
2,4,2,4,3,1,1,2,3,2,1,1,1,2,4,1,1,4,5,4,68,1,40,264
4,2,3,4,2,2,2,1,5,2,1,2,2,2,4,3,2,3,5,2,59,2,40,261
5,5,3,2,4,1,1,3,2,4,2,4,3,1,5,3,3,5,3,3,78,1,28,406
2,2,5,4,4,5,4,2,4,2,3,4,2,3,3,3,3,2,4,2,51,1,42,631
5,2,1,2,5,2,1,5,1,1,1,4,1,2,2,1,2,4,5,3,80,1,27,238
4,5,2,1,5,2,1,5,2,2,1,5,4,2,5,1,1,4,5,4,87,1,35,155
3,5,4,3,4,2,1,4,2,4,1,4,2,2,5,1,2,4,5,1,73,1,24,177
5,5,3,3,5,3,1,5,5,4,1,4,4,2,4,3,4,4,5,5,79,1,26,719
2,2,2,4,4,3,3,4,4,4,3,2,2,3,3,0,2,4,4,2,59,1,47,175
2,5,3,1,4,2,2,2,4,3,1,4,2,2,2,4,2,4,4,4,67,2,19,199
2,2,4,4,4,3,3,2,5,5,2,2,2,3,2,2,3,4,4,1,51,2,37,227
2,2,4,3,2,5,5,1,5,5,3,2,1,3,1,5,3,1,1,2,34,2,45,380
4,5,3,2,4,3,2,4,4,3,1,5,5,2,4,5,2,5,5,3,75,1,19,82
4,3,4,2,3,4,2,2,4,2,4,3,2,2,3,4,2,3,4,1,56,1,50,243
2,2,5,4,1,5,5,2,5,4,5,5,4,1,2,2,2,4,3,5,50,2,50,194
2,2,2,3,4,4,2,5,3,2,1,4,4,2,3,2,2,4,4,4,71,1,20,328
2,2,5,5,3,4,2,2,4,4,3,4,1,3,2,5,3,2,5,1,46,1,25,73
2,5,2,3,4,1,4,4,4,5,1,5,4,2,2,2,4,2,5,5,72,1,26,247
2,2,4,4,3,4,4,4,4,4,2,1,2,2,2,4,4,2,1,1,46,1,30,172
2,4,2,3,4,2,2,4,2,5,4,4,3,3,2,4,2,5,3,2,62,1,25,223
4,3,2,2,4,2,2,4,3,4,2,4,4,2,2,2,2,3,4,4,71,1,42,133
5,5,1,1,5,1,1,5,3,1,1,5,5,1,5,1,1,5,5,1,90,1,48,291
2,2,5,4,2,3,2,2,5,2,2,2,2,2,2,2,2,4,4,2,53,2,43,175
1,2,1,1,5,1,1,4,1,2,1,5,3,3,4,1,2,4,5,1,78,1,30,182
4,4,3,2,4,1,1,4,2,2,1,5,4,2,4,3,2,4,5,4,81,2,17,146
5,4,2,1,3,1,1,4,2,2,1,5,2,2,3,1,1,4,5,2,79,1,25,89
5,4,3,1,4,3,3,5,3,4,3,4,2,4,4,3,2,4,4,4,69,1,17,304
4,5,3,3,4,1,5,3,3,3,1,5,2,1,3,2,2,4,5,3,72,1,19,181
4,1,3,1,5,5,5,3,4,4,1,3,4,1,3,4,4,3,5,5,66,2,19,202
4,2,3,2,2,3,1,1,5,4,2,2,3,3,4,2,3,3,5,3,61,1,19,175
4,3,2,2,3,2,1,4,4,2,1,2,2,2,2,2,3,4,3,4,70,1,19,148
1,3,3,4,4,3,3,2,4,2,1,1,2,5,4,2,4,4,5,2,59,2,57,282
3,2,4,1,4,2,2,1,2,2,1,4,4,1,1,1,1,3,4,1,66,1,27,336
4,4,3,3,4,2,1,4,2,2,3,4,1,2,2,2,1,5,5,2,70,1,39,193
4,3,1,1,5,3,2,5,2,2,2,5,4,2,4,4,2,4,5,3,79,1,18,123
2,4,5,4,4,4,4,4,4,4,3,4,3,4,4,2,2,4,2,2,55,2,31,208
4,2,3,1,4,4,2,2,4,2,2,5,4,4,4,4,2,4,4,4,67,2,44,200
3,3,5,5,2,4,4,3,5,4,4,1,2,3,3,5,3,1,3,1,40,1,44,241
4,5,2,1,3,1,2,4,2,2,1,4,5,3,4,3,2,1,4,4,77,1,20,329
2,2,2,3,2,2,2,3,2,2,1,3,1,1,5,2,3,4,3,2,67,1,25,102
5,2,5,5,2,5,4,5,2,4,5,2,5,5,5,5,5,5,5,5,60,1,45,99
5,5,2,4,4,2,2,4,2,2,1,5,3,2,0,2,2,4,4,4,75,1,32,178
2,2,4,1,4,1,1,4,2,2,2,2,2,1,4,2,2,4,5,2,71,2,21,181
2,2,4,1,4,1,1,4,2,2,2,2,2,1,4,2,2,4,5,2,71,1,21,205
4,2,2,1,3,1,2,5,3,2,1,5,1,2,4,2,1,5,4,4,76,1,45,459
3,4,5,1,4,2,1,1,5,2,2,2,2,1,4,5,2,2,5,1,60,1,27,208
3,4,3,2,3,3,3,4,3,2,3,3,4,4,3,3,4,3,2,3,64,2,20,219
5,4,1,2,2,1,1,4,2,2,1,4,5,1,4,4,2,4,5,2,80,1,18,182
5,4,2,3,2,1,1,4,2,2,1,4,4,1,2,4,2,5,5,2,76,1,18,139
2,3,5,4,2,5,4,2,5,4,2,3,1,3,2,5,1,3,5,1,42,1,29,143
1,5,5,5,2,4,5,3,5,5,2,1,2,4,5,5,3,2,5,1,44,1,29,140
5,4,3,2,4,2,2,4,2,2,2,4,4,2,4,2,2,4,4,2,76,1,26,254
3,3,1,2,4,2,2,3,2,2,2,4,3,3,3,3,3,3,3,2,69,1,40,163
2,4,4,3,2,3,2,1,5,3,4,4,1,3,3,1,2,4,4,4,57,1,28,362
4,2,3,2,4,2,1,5,2,2,2,5,4,2,4,2,3,4,5,2,78,1,18,88
2,1,4,3,4,2,0,3,2,0,2,4,3,4,4,2,2,5,5,5,73,1,48,276
